"data_project.Education","data_project.City","data_project.Gender","data_project.EverBenched"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Male","No"
"Masters","New Delhi","Female","No"
"Masters","Pune","Male","No"
"Masters","New Delhi","Female","No"
"PHD","New Delhi","Female","No"
"Bachelors","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"PHD","New Delhi","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Male","No"
"Masters","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Female","No"
"Masters","Bangalore","Female","No"
"Masters","Pune","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","New Delhi","Female","No"
"Masters","New Delhi","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","Pune","Female","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","Yes"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Female","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Male","No"
"PHD","New Delhi","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","No"
"Masters","Bangalore","Female","No"
"Bachelors","New Delhi","Male","No"
"Masters","Pune","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","New Delhi","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Masters","New Delhi","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Female","Yes"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Female","No"
"Masters","New Delhi","Female","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"Masters","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Female","No"
"Masters","Pune","Female","No"
"Masters","New Delhi","Female","No"
"Bachelors","Pune","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Female","Yes"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","No"
"Masters","New Delhi","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","Pune","Female","No"
"Masters","New Delhi","Male","No"
"PHD","Bangalore","Female","No"
"Masters","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Female","No"
"Bachelors","New Delhi","Male","No"
"Bachelors","New Delhi","Female","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Female","Yes"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","New Delhi","Female","Yes"
"Bachelors","Pune","Female","Yes"
"Masters","New Delhi","Male","No"
"PHD","New Delhi","Female","No"
"Masters","New Delhi","Male","No"
"Bachelors","Pune","Male","No"
"Masters","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Male","No"
"Masters","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","Yes"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Female","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Male","No"
"Bachelors","Pune","Female","No"
"Masters","Pune","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","Yes"
"Masters","Pune","Male","No"
"Masters","Pune","Male","No"
"Masters","Pune","Female","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","New Delhi","Female","No"
"Masters","Bangalore","Female","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","Pune","Female","No"
"Masters","Bangalore","Male","Yes"
"Bachelors","Bangalore","Female","No"
"Bachelors","New Delhi","Female","Yes"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","Yes"
"Bachelors","Pune","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"PHD","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Pune","Female","No"
"Masters","New Delhi","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Female","Yes"
"Masters","New Delhi","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Female","Yes"
"Masters","Bangalore","Female","No"
"Bachelors","Pune","Female","No"
"Masters","New Delhi","Male","Yes"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","New Delhi","Female","Yes"
"Bachelors","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"PHD","New Delhi","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Female","No"
"Masters","Pune","Female","No"
"PHD","New Delhi","Male","No"
"Masters","New Delhi","Male","No"
"Masters","New Delhi","Male","Yes"
"PHD","New Delhi","Male","No"
"Masters","New Delhi","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Female","Yes"
"Masters","Bangalore","Male","No"
"Masters","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","Yes"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Male","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","New Delhi","Male","No"
"PHD","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","Yes"
"Masters","Bangalore","Female","Yes"
"Bachelors","Bangalore","Male","Yes"
"Masters","New Delhi","Male","Yes"
"Bachelors","Bangalore","Male","No"
"PHD","New Delhi","Female","No"
"Masters","New Delhi","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Female","No"
"Bachelors","New Delhi","Female","No"
"Masters","Pune","Female","No"
"Masters","Pune","Female","Yes"
"Masters","New Delhi","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Male","No"
"Bachelors","Pune","Female","Yes"
"Bachelors","New Delhi","Female","Yes"
"Bachelors","Pune","Male","Yes"
"Bachelors","Pune","Male","No"
"PHD","New Delhi","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","New Delhi","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","New Delhi","Female","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Pune","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Masters","Pune","Female","No"
"Masters","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"PHD","New Delhi","Male","No"
"Masters","New Delhi","Female","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","No"
"Masters","New Delhi","Male","Yes"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Male","Yes"
"Masters","New Delhi","Female","No"
"Masters","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Female","Yes"
"Bachelors","Pune","Female","Yes"
"Masters","Pune","Female","No"
"Bachelors","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Male","No"
"PHD","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Male","No"
"Masters","Pune","Male","No"
"Masters","New Delhi","Female","Yes"
"Bachelors","New Delhi","Male","No"
"Bachelors","Bangalore","Female","No"
"Masters","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"PHD","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Female","No"
"Masters","New Delhi","Male","No"
"PHD","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Masters","Pune","Female","No"
"Masters","New Delhi","Female","No"
"Bachelors","New Delhi","Male","No"
"Bachelors","Pune","Female","No"
"Masters","Pune","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Male","No"
"Masters","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Male","No"
"Masters","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Male","No"
"Masters","Pune","Male","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Pune","Female","No"
"PHD","Bangalore","Male","No"
"Masters","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Female","Yes"
"Bachelors","Bangalore","Female","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Masters","New Delhi","Female","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Masters","Pune","Female","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Female","No"
"Masters","New Delhi","Male","No"
"Bachelors","New Delhi","Female","No"
"PHD","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"PHD","New Delhi","Male","No"
"Masters","New Delhi","Female","No"
"Bachelors","New Delhi","Female","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","Yes"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Pune","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Pune","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Female","No"
"Bachelors","New Delhi","Female","Yes"
"Masters","Pune","Male","No"
"Masters","New Delhi","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Masters","Pune","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","Yes"
"Masters","New Delhi","Male","No"
"Bachelors","Pune","Female","No"
"Masters","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","Yes"
"Bachelors","Pune","Female","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Female","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Masters","Pune","Male","No"
"Masters","Pune","Male","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Female","No"
"PHD","Bangalore","Female","No"
"Bachelors","Bangalore","Male","Yes"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Male","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Masters","New Delhi","Male","No"
"PHD","New Delhi","Male","No"
"Bachelors","Bangalore","Female","No"
"Masters","New Delhi","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Male","No"
"Masters","Bangalore","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Female","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Female","No"
"Masters","New Delhi","Male","No"
"Bachelors","Pune","Female","No"
"Masters","Pune","Male","No"
"Bachelors","Pune","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","New Delhi","Female","Yes"
"Masters","New Delhi","Male","No"
"Masters","New Delhi","Female","No"
"Bachelors","New Delhi","Female","No"
"Bachelors","Bangalore","Male","No"
"Bachelors","Bangalore","Male","No"
